Inserted Mega Image into table stores, 2023-05-20 23:55:01
Selected store_id from table store, 2023-05-20 23:55:01
Inserted storage into table storages, 2023-05-20 23:55:01
Inserted client into table clients, 2023-05-20 23:55:17
Inserted Snicker into table products, 2023-05-21 00:05:48
Selected product_id from table product, 2023-05-21 00:05:48
Inserted Snicker into table food, 2023-05-21 00:05:49
Inserted Snicker into table products, 2023-05-21 00:06:47
Selected product_id from table product, 2023-05-21 00:06:47
Inserted Snicker into table food, 2023-05-21 00:06:48
Selected product_id from table distributor, 2023-05-21 00:06:48
Inserted Nestle into table distributor, 2023-05-21 00:06:48
